_id,90 Kota Inflasi (2018=100),Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
1,KOTA MEULABOH,0.83,-0.95,-0.57,0.54,0.79,-0.06,0.2,-0.03,-0.59,0.62,0.48,0.81,2.07
2,KOTA BANDA ACEH,0.77,-0.56,-0.45,0.53,0.17,-0.05,-0.14,0.26,-0.13,0.38,0.87,0.74,2.41
3,KOTA LHOKSEUMAWE,0.8,-0.7,-0.09,0.42,0.19,-0.07,-0.07,-0.21,-0.16,0.45,0.82,0.59,1.97
4,KOTA SIBOLGA,0.74,-0.68,-0.29,0.35,-0.3,0.31,0.62,0.05,0.32,0.11,0.47,0.17,1.86
5,KOTA PEMATANG SIANTAR,1.13,-0.46,-0.23,0.05,0.08,0.23,-0.03,-0.07,0.31,-0.36,0.58,0.85,2.12
6,KOTA MEDAN,0.38,-0.33,-0.03,0.04,0.24,0.03,0.31,-0.1,0.31,-0.05,0.46,0.44,1.7
7,KOTA PADANGSIDIMPUAN,0.38,-0.28,-0.57,0.61,0.31,-0.26,0.18,0.23,0.05,0.06,0.44,0.35,1.49
8,KOTA GUNUNGSITOLI,1.08,-1.55,-0.54,0.59,-0.29,-0.28,0.52,-0.1,-0.13,-0.07,0.71,0.62,0.54
9,KOTA PADANG,0.1,-0.42,0.32,-0.05,0.19,-0.16,-0.09,-0.1,0.04,0.35,0.7,0.48,1.37
10,KOTA BUKITTINGGI,0.3,-0.11,0.31,0.19,0.26,-0.26,-0.03,-0.27,0.53,0.41,0.4,-0.04,1.69
11,TEMBILAHAN,0.3,-0.1,-0.07,0.39,0.01,-0.32,-0.1,-0.42,0.41,0.38,0.33,0.29,1.09
12,KOTA PEKANBARU,0.47,-0.33,0.15,0.1,-0.04,0.01,0.31,-0.07,0.19,0.29,0.39,0.07,1.55
13,KOTA DUMAI,0.4,-0.38,-0.04,0.24,0.65,0.02,0.22,-0.26,0.1,0.46,0.36,-0.13,1.66
14,BUNGO,0.5,-0.46,0.35,-0.26,0.21,-0.39,0.2,-0.2,-0.12,0.78,0.6,0.45,1.65
15,KOTA JAMBI,0.68,-0.47,0.33,-0.35,0.39,-0.2,-0.21,-0.44,0.3,0.65,0.49,0.48,1.67
16,KOTA PALEMBANG,0.43,-0.08,0.17,0.33,-0.02,-0.01,-0.06,-0.04,0.05,0.07,0.56,0.42,1.84
17,KOTA LUBUKLINGGAU,0.3,-0.1,-0.03,0.32,0.34,-0.08,-0.11,-0.21,0.23,0.31,0.29,0.35,1.63
18,KOTA BENGKULU,0.39,0.14,0.23,0.1,0.11,0.31,-0.12,0.16,0.17,-0.02,0.52,0.39,2.42
19,KOTA BANDAR LAMPUNG,0.8,0.12,-0.19,-0.18,0.09,0.2,0.14,-0.53,0.07,0.07,0.53,0.99,2.13
20,KOTA METRO,0.53,0.29,-0.33,-0.14,0.64,0.07,0.26,-0.28,-0.11,0.32,0.48,0.99,2.74
21,TANJUNG PANDAN,1.03,0.28,-0.18,-0.02,0.52,0.36,0.22,0.28,0.38,-0.44,0.38,1.14,4.01
22,KOTA PANGKAL PINANG,1.17,-0.33,-0.12,0.3,0.23,0.23,-0.32,-0.27,0.6,0.03,0.77,1.27,3.6
23,KOTA BATAM,0.68,-0.6,-0.02,0.15,0.26,-0.15,0.45,-0.44,0.33,0.32,0.86,0.58,2.45
24,KOTA TANJUNG PINANG,0.56,-0.59,-0.42,-0.36,0.03,-0.02,0.36,-0.32,0.19,0.16,0.85,0.42,0.86
25,DKI JAKARTA,0.14,0.18,0.06,0.08,0.41,-0.27,-0.04,0.08,-0.06,0.08,0.4,0.45,1.53
26,KOTA BOGOR,0.19,0.24,0.06,0.24,0.4,-0.17,0.07,0.08,-0.1,0.08,0.26,0.56,1.93
27,KOTA SUKABUMI,0.26,0.07,0.19,0.3,0.09,-0.12,0.1,-0.03,-0.1,0.04,0.57,0.34,1.71
28,KOTA BANDUNG,0.1,0.09,0.15,0.19,0.4,-0.09,0.19,0.09,-0.14,0.07,0.14,0.45,1.65
29,KOTA CIREBON,0.08,0.07,0.07,0.33,0.34,-0.17,0.02,0.09,-0.06,0.08,0.42,0.54,1.81
30,KOTA BEKASI,0.19,0.23,-0.1,0.13,0.25,-0.33,0.19,0.25,-0.12,0.05,0.32,0.54,1.61
31,KOTA DEPOK,0.14,0.2,0.05,0.33,0.65,-0.29,-0.03,0.06,-0.07,0.15,0.28,0.33,1.81
32,KOTA TASIKMALAYA,0.25,0.02,-0.06,0.38,0.11,-0.05,0.08,0.02,-0.24,0.03,0.17,0.46,1.17
33,CILACAP,0.27,0.12,0.03,0.05,0.25,-0.25,0.06,0.06,-0.12,0.23,0.36,0.82,1.88
34,PURWOKERTO,0.35,0.15,0.06,0.04,0.19,-0.2,0.09,0.12,-0.13,0.35,0.4,0.74,2.18
35,KUDUS,0.27,0.2,0.08,-0.07,0.21,-0.09,-0.1,0.15,-0.03,0.14,0.31,0.5,1.59
36,KOTA SURAKARTA,0.68,0.26,0.16,0.02,0.06,-0.22,0.23,0.09,0.01,0.23,0.33,0.71,2.58
37,KOTA SEMARANG,0.14,0.16,0.08,0.05,0.17,-0.14,0.05,-0.06,-0.14,0.24,0.33,0.6,1.49
38,KOTA TEGAL,-0.17,0.25,-0.03,0.08,0.25,-0.36,0.08,-0.16,0.02,0.45,0.46,0.66,1.53
39,KOTA YOGYAKARTA,0.54,0.14,0.08,0.01,0.07,0.05,0.11,0.05,-0.17,0.24,0.45,0.71,2.29
40,JEMBER,0.25,0.12,0.45,0.08,0.11,-0.1,-0.05,0.04,-0.09,0.04,0.31,0.91,2.09
41,BANYUWANGI,0.18,0.09,0.31,0.02,0.27,-0.3,0.23,-0.08,-0.16,0.02,0.28,0.72,1.59
42,SUMENEP,0.06,0.02,0.12,0.53,0.41,-0.58,0.42,-0.16,-0.11,0.02,0.65,1.17,2.57
43,KOTA KEDIRI,0.16,0.07,0.15,0.31,0.13,-0.1,-0.08,-0.08,-0.09,0.18,0.25,0.74,1.64
44,KOTA MALANG,0.06,-0.01,0.08,0.1,0.14,0.08,0.11,0.03,-0.02,0.19,0.26,0.73,1.75
45,KOTA PROBOLINGGO,0.28,0.05,0.18,0.09,0.1,-0.17,0.16,0.06,-0.14,0.13,0.24,0.78,1.76
46,KOTA MADIUN,0.6,0.08,0.19,0.06,0.05,-0.21,0.11,0.15,-0.1,0.09,0.22,0.76,2.0
47,KOTA SURABAYA,0.37,0.29,0.09,0.09,0.33,-0.17,0.2,0.37,-0.13,0.2,0.39,0.65,2.71
48,KOTA TANGERANG,0.32,0.26,0.01,0.15,0.22,-0.22,0.02,0.16,-0.07,0.08,0.17,0.69,1.81
49,KOTA CILEGON,0.34,0.25,0.29,0.22,0.19,-0.02,0.06,-0.06,-0.24,0.18,0.3,0.66,2.19
50,KOTA SERANG,0.46,0.19,0.12,0.19,0.36,-0.05,0.03,0.15,-0.19,0.05,0.18,0.73,2.23
51,SINGARAJA,0.94,0.22,0.81,-0.15,-0.5,-0.52,0.19,-0.07,-0.45,0.08,0.12,1.7,2.39
52,KOTA DENPASAR,0.77,-0.2,0.47,0.46,-0.59,-0.36,-0.07,0.11,0.19,-0.23,0.71,0.75,2.01
53,KOTA MATARAM,0.86,0.34,0.34,-0.25,0.26,-0.31,0.05,-0.18,0.17,0.28,0.05,0.66,2.28
54,KOTA BIMA,0.1,-0.14,0.19,0.3,0.84,-0.32,0.25,0.02,-0.15,-0.09,0.02,0.57,1.57
55,WAINGAPU,0.24,0.57,-0.47,0.9,0.67,-0.63,-0.4,-0.45,0.27,-0.04,-0.34,0.96,1.28
56,MAUMERE,-0.57,0.85,-0.27,0.04,-0.21,0.53,-0.01,-0.89,-0.05,0.32,0.48,0.34,0.55
57,KOTA KUPANG,0.55,0.37,-0.35,0.91,0.74,-0.89,0.14,-0.56,-0.39,-0.2,0.6,0.96,1.86
58,SINTANG,-0.43,-0.13,-0.39,0.1,-0.13,0.25,-0.03,-0.11,0.25,-0.03,2.01,0.5,1.88
59,KOTA PONTIANAK,-0.01,0.09,-0.05,0.09,-0.09,0.82,-0.23,0.08,0.33,-0.21,0.02,0.32,1.16
60,KOTA SINGKAWANG,-0.04,0.25,-0.5,0.17,0.1,1.36,0.23,0.18,0.42,-0.27,0.08,0.55,2.55
61,SAMPIT,0.09,-0.02,0.04,0.44,0.4,0.54,0.01,-0.18,0.17,2.06,0.32,0.66,4.62
62,KOTA PALANGKA RAYA,0.09,0.33,0.18,-0.06,0.45,0.08,0.12,-0.14,0.04,0.21,0.26,0.99,2.58
63,KOTA BARU,0.25,0.09,0.68,0.22,0.69,-0.42,0.12,0.32,-0.18,-0.07,0.34,0.62,2.68
64,TANJUNG,0.03,0.33,0.21,-0.07,0.31,0.36,0.12,0.01,-0.04,0.32,0.38,0.45,2.43
65,KOTA BANJARMASIN,-0.23,0.59,0.01,-0.22,0.96,-0.41,0.19,-0.14,-0.04,0.39,0.62,0.8,2.54
66,KOTA BALIKPAPAN,0.02,0.28,0.16,0.02,0.25,0.47,-0.03,-0.14,0.19,0.05,0.27,0.72,2.28
67,KOTA SAMARINDA,0.24,0.11,0.24,0.26,0.23,0.28,-0.01,-0.2,0.12,0.03,0.09,0.65,2.05
68,TANJUNG SELOR,0.49,-0.13,0.64,-0.15,0.55,0.01,-0.26,-0.41,0.39,-0.3,0.17,1.31,2.33
69,KOTA TARAKAN,-0.85,-0.01,-0.19,0.73,1.2,-0.18,-0.02,-0.37,-0.13,0.68,1.06,0.9,2.83
70,KOTA MANADO,0.58,0.04,0.17,0.96,-0.3,0.07,0.28,-0.27,-0.31,0.44,0.03,0.95,2.65
71,KOTA KOTAMOBAGU,0.23,-0.21,-0.33,1.31,0.32,-0.09,0.78,-0.09,-0.79,0.47,-0.53,1.45,2.51
72,LUWUK,0.21,-0.06,0.13,0.1,0.78,0.12,-0.06,-0.17,-0.16,0.3,0.22,1.05,2.48
73,KOTA PALU,0.25,0.16,0.21,0.08,0.68,-0.86,0.11,0.49,-0.01,0.05,0.18,0.77,2.14
74,BULUKUMBA,0.07,0.24,0.11,0.42,0.4,-0.04,0.05,-0.18,-0.13,0.04,0.45,0.7,2.16
75,WATAMPONE,0.08,0.53,-0.1,0.79,0.35,0.09,-0.12,-0.27,-0.07,-0.2,0.09,1.08,2.26
76,KOTA MAKASSAR,0.31,0.34,0.44,0.24,0.26,-0.31,0.07,-0.34,-0.14,0.07,0.38,0.92,2.26
77,KOTA PARE-PARE,0.27,0.31,0.1,0.92,0.87,-0.04,0.26,-0.21,-0.31,-0.04,0.74,1.14,4.09
78,KOTA PALOPO,0.26,0.11,-0.01,0.41,1.0,-0.05,0.58,-0.06,-0.13,-0.06,0.22,0.65,2.96
79,KOTA KENDARI,-0.24,-0.11,0.39,0.21,1.16,0.28,0.7,0.62,0.24,-0.7,0.19,0.28,3.05
80,KOTA BUA-BAU,-0.92,0.53,-0.99,0.8,1.03,-0.51,0.91,0.12,-0.34,-0.44,0.8,0.08,1.05
81,KOTA GORONTALO,0.61,0.22,0.6,0.35,0.3,0.08,0.36,-0.16,-0.9,0.55,-0.36,0.92,2.59
82,MAMUJU,1.43,1.12,0.36,-0.21,1.36,0.35,-0.46,-0.1,-0.77,-0.07,0.33,1.0,4.39
83,KOTA AMBON,0.02,-0.43,0.38,0.16,0.78,0.84,0.07,-0.11,0.12,0.23,1.14,0.79,4.05
84,KOTA TUAL,-0.03,-0.08,0.2,0.52,0.11,0.63,1.16,0.1,0.07,-0.56,-0.16,1.44,3.45
85,KOTA TERNATE,-0.51,0.54,0.08,0.25,0.44,-0.22,0.55,-0.61,-0.11,0.66,0.25,1.03,2.38
86,MANOKWARI,-0.58,-0.21,0.93,-0.28,1.82,0.99,-0.6,-0.72,-0.62,0.96,0.68,1.02,3.39
87,KOTA SORONG,0.41,-0.53,0.74,0.18,0.83,1.12,1.51,-1.04,-0.76,0.04,-0.3,1.27,3.49
88,MERAUKE,-0.09,0.46,0.85,-0.04,0.09,0.28,0.04,-0.99,-0.75,0.49,-0.17,1.53,1.68
89,TIMIKA,-0.07,0.13,-0.41,1.27,-0.83,0.35,0.52,-0.03,-0.3,-0.13,0.35,1.24,2.09
90,KOTA JAYAPURA,-0.42,0.72,1.07,-1.26,-0.34,-0.38,0.09,-0.42,-0.35,0.81,0.29,1.91,1.7
91,INDONESIA,0.26,0.1,0.08,0.13,0.32,-0.16,0.08,0.03,-0.04,0.12,0.37,0.57,1.87
